id,campaign,field,before,after,before_read,after_read
67c72830b9bfd13d,26V444,summary,"Volvo Trucks North America (Volvo Trucks) is recalling certain 2026 VOLVO VHD, VNL (4), VNR (4), VN, and VAH vehicles. The steering knuckles may have been manufactured with insufficiently tightened steering arms.","Volvo Trucks North America (Volvo Trucks) is recalling certain 2026 VOLVO VAH, VN, VHD, 2026-2027 VNL (4) and VNR (4) vehicles. The steering knuckles may have been manufactured with insufficiently tightened steering arms.",2026-09-11T05:05:46+00:00,2026-09-11T11:04:29+00:00
10ee5c39588ae298,26V443,remedy,"Dealer will replace the rear brake caliper, free of charge. Owner notification letters are expected to be mailed September 2, 2026. Owners may contact KTM and Husqvarna customer service at 1-888-985-6090. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov July 15, 2026.","Dealer will replace the rear brake caliper, free of charge. Owner notification letters were mailed August 31, 2026. Owners may contact KTM and Husqvarna customer service at 1-888-985-6090. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov July 15, 2026.",2026-09-11T05:05:46+00:00,2026-09-11T11:04:29+00:00
425d548a36c0bd97,26V437,remedy,"Dealers will inspect the rear axle carrier sub-assembly code, and replace the sub-assemblies as necessary, free of charge. Owner notification letters are expected to be mailed August 23, 2026. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 26TB13, 26TA13, 26LB08, and 26LA08.","Dealers will inspect the rear axle carrier sub-assembly code, and replace the sub-assemblies as necessary, free of charge. Owner notification letters were mailed September 8, 2026. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 26TB13, 26TA13, 26LB08, and 26LA08.",2026-09-11T05:05:46+00:00,2026-09-11T11:04:29+00:00
3fcdf4376d68ea06,26V425,remedy,"Dealers will replace the rear outboard seat belt assemblies, free of charge. Interim letters, notifying owners of the safety risk, were mailed July 28, 2026. Additional letters will be sent once the remedy is available, anticipated in December 2026. Owners may contact Nissan's customer service at 800-647-7261. Nissan's number for this recall is R26A7. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on July 7, 2026.","Dealers will replace the rear outboard seat belt assemblies, free of charge. Interim letters, notifying owners of the safety risk, were mailed July 28, 2026. Additional letters will be sent once the remedy is available, anticipated October 28, 2026. Owners may contact Nissan's customer service at 800-647-7261. Nissan's number for this recall is R26A7. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on July 7, 2026.",2026-09-11T05:05:46+00:00,2026-09-11T11:04:29+00:00
28c27706fe735394,26V290,remedy,"The remedy is currently under development. Interim owner notification letters explaining the safety risk are expected to be mailed June 25, 2026. Additional letters will be sent once the final remedy becomes available. Owners may contact FCA customer service at 1-800-853-1403. FCA's number for this recall is 40D. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov beginning May 14, 2026.","Dealers will update the Drivetrain Control Drivetrain Control Module, PTU, and Electronic Park Brake software, and replace the PTU, as necessary, free of charge. Interim owner notification letters explaining the safety risk are expected to be mailed June 25, 2026. Additional letters will be sent once the final remedy becomes available. Owners may contact FCA customer service at 1-800-853-1403. FCA's number for this recall is 40D. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov beginning May 14, 2026.",2026-09-11T04:19:54+00:00,2026-09-11T10:19:13+00:00
f6a5dfca2bbab0c9,26V188,remedy,"Owners are advised to park outside and away from structures and should not charge their vehicles until the remedy is completed. Dealers will replace the battery modules or the battery, free of charge. Owner letters were mailed September 2, 2026. Owners may contact Nissan's customer service at 800-647-7261. Nissan's number for this recall is R25F1. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on March 27, 2026.","Owners are advised to park outside and away from structures and should not charge their vehicles until the remedy is completed. Dealers will inspect and replace the battery modules, as necessary, free of charge. Owner letters were mailed September 2, 2026. Owners may contact Nissan's customer service at 800-647-7261. Nissan's number for this recall is R25F1. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on March 27, 2026.",2026-09-11T04:04:35+00:00,2026-09-11T10:05:35+00:00
6ed370cad39a2f98,26V547,remedy,"Dealers will replace the engine compartment wiring harness ground terminals, free of charge. Interim letters, notifying owners of the safety risk, are expected to be mailed August 31, 2026. Additional letters will be sent once the remedy is available, anticipated in March 2027. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26C40. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on August 28, 2026.","Dealers will replace the engine compartment wiring harness ground terminals, free of charge. Interim letters, notifying owners of the safety risk, were mailed September 5, 2026. Additional letters will be sent once the remedy is available, anticipated in March 2027. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26C40. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on August 28, 2026.",2026-09-11T03:20:31+00:00,2026-09-11T09:03:50+00:00
23fd902b1809b8ec,26C004,remedy,"The remedy for this recall is currently under development. Interim letters, notifying owners of the safety risk, are expected to be mailed August 17, 2026. Additional letters will be sent once the remedy is available. Owners may contact Evenflo customer service at 1-800-233-5921.","The remedy for this recall is currently under development. Interim letters, notifying owners of the safety risk, were mailed September 1, 2026. Additional letters will be sent once the remedy is available. Owners may contact Evenflo customer service at 1-800-233-5921.",2026-09-09T10:58:55+00:00,2026-09-10T14:03:15+00:00
a64d83367d6d5c99,26V450,remedy,"Dealers will inspect and replace the printed circuit board as necessary, free of charge. Owner notification letters are expected to be mailed September 4, 2026. Owners may contact Winnebago customer service at 1-641-585-6939 or 1-800-537-1885. Winnebago's number for this recall is 209.","Dealers will inspect and replace the printed circuit board as necessary, free of charge. Owner notification letters were mailed September 4, 2026. Owners may contact Winnebago customer service at 1-641-585-6939 or 1-800-537-1885. Winnebago's number for this recall is 209.",2026-09-10T06:05:32+00:00,2026-09-10T11:48:50+00:00
256f969768003c90,26V529,remedy,"Dealers will update the body control module (BCM) software, free of charge. Owner notification letters will be mailed beginning September 3, 2026. Owners may contact Chrysler customer service at 1-800-853-1403. Chrysler's number for this recall is 77D. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov on August 20, 2026.","Dealers will update the body control module (BCM) software, free of charge. Owner notification letters were mailed September 3, 2026. Owners may contact Chrysler customer service at 1-800-853-1403. Chrysler's number for this recall is 77D. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov on August 20, 2026.",2026-09-10T04:19:02+00:00,2026-09-10T09:50:10+00:00
028f1fc324079178,26V091,remedy,"Dealers will update the battery energy control module (BECM) and hybrid powertrain control module (HPCM) software, free of charge. Owners are advised to only use ""Auto EV"" mode and will be instructed by mail to limit the maximum charge of the battery until the remedy has been completed. Interim letters, notifying owners of the safety risk, and instructions to limit the maximum charge of the battery were mailed February 26, 2026. Additional letters will be sent once the final remedy is available. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25SC4. This recall expands previous recall numbers 24V954 and 25V489. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on February 18, 2026.","Dealers will update the battery energy control module (BECM) and hybrid powertrain control module (HPCM) software, free of charge. Owners are advised to only use ""Auto EV"" mode and will be instructed by mail to limit the maximum charge of the battery until the remedy has been completed. Owner notification letters were mailed September 4, 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25SC4. This recall expands previous recall numbers 24V954 and 25V489. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on February 18, 2026.",2026-09-09T06:04:40+00:00,2026-09-09T12:05:29+00:00
b576832375cf1e3f,26V548,remedy,"Dealers will inspect the engine pistons and replace the engine long block, if necessary, free of charge. Interim letters, notifying owners of the safety risk, are expected to be mailed September 4, 2026. Additional letters will be sent once the remedy is available, anticipated in December 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S61. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on August 28, 2026.","Dealers will inspect the engine pistons and replace the engine long block, if necessary, free of charge. Interim letters, notifying owners of the safety risk, were mailed September 3, 2026. Additional letters will be sent once the remedy is available, anticipated in December 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S61. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on August 28, 2026.",2026-09-09T05:34:02+00:00,2026-09-09T11:35:44+00:00
5934038d36db13f8,25V789,remedy,"Dealers will update the battery energy control module (BECM) and hybrid powertrain control module (HPCM), free of charge. Owners are advised to only use ""Auto EV"" mode and will be instructed by mail to limit the maximum charge of the battery until the remedy has been completed. Interim letters, notifying owners of the safety risk, and instructions to limit the maximum charge of the battery were mailed December 8, 2025. Additional letters will be sent once the final remedy is available. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25SC4. Vehicles in this recall were previously recalled under 24V954 and will need to have the new remedy performed. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 18, 2025.","Dealers will update the battery energy control module (BECM) and hybrid powertrain control module (HPCM), free of charge. Owners are advised to only use ""Auto EV"" mode and will be instructed by mail to limit the maximum charge of the battery until the remedy has been completed. Owner notification letters were mailed September 4, 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25SC4. Vehicles in this recall were previously recalled under 24V954 and will need to have the new remedy performed. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 18, 2025.",2026-09-09T04:50:44+00:00,2026-09-09T10:50:31+00:00
556f3597845685e5,26V470,remedy,"Dealers will disable the driver seat module (DSM) feature until parts are available. Once available, the motor will be replaced. Repairs will be performed free of charge. Interim letters, notifying owners of the safety risk, are expected to be mailed August 31, 2026. Additional letters will be sent once the remedy is available, anticipated in October 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S53.","Dealers will disable the driver seat module (DSM) feature until parts are available. Once available, the motor will be replaced. Repairs will be performed free of charge. Owner notification letters were mailed September 3, 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S53.",2026-09-09T02:04:48+00:00,2026-09-09T07:34:43+00:00
2fd8e5c3acafb10f,26V435,remedy,"Wabash will repair the stirrup steps, free of charge. Owner notification letters are expected to be mailed September 4, 2026. Owners may contact Wabash customer service at 1-765-771-5404.","Wabash will repair the stirrup steps, free of charge. Interim owner notification letters explaining the safety risk were mailed by September 3, 2026. Owners will receive another notice once remedy becomes available. Owners may contact Wabash customer service at 1-765-771-5404.",2026-09-09T01:50:10+00:00,2026-09-09T07:19:05+00:00
92414b030d30c37e,26V403,remedy,"Dealers will inspect and repair, or replace the fender flares as necessary, free of charge. Interim letters, notifying owners of the safety risk, were mailed August 11, 2026. Additional letters will be sent once the remedy is available, anticipated in late August 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S47. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning August 7, 2026.","Dealers will inspect and repair, or replace the fender flares as necessary, free of charge. Owner notification letters were mailed September 1, 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S47. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning August 7, 2026.",2026-09-09T01:34:49+00:00,2026-09-09T07:06:02+00:00
20eda7fb23d455d5,26V340,remedy,"Owners are advised not to drive their vehicles until the remedy is completed. Dealers will inspect and repair the front lower control arm ball joints as necessary, free of charge. Interim letters, notifying owners of the safety risk, were mailed June 4, 2026. Additional letters will be sent once the remedy is available. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S36. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on May 29, 2026.","Owners are advised not to drive their vehicles until the remedy is completed. Dealers will inspect and repair the front lower control arm ball joints as necessary, free of charge.Owner notification letters were mailed September 2, 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 26S36. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on May 29, 2026.",2026-09-09T01:19:02+00:00,2026-09-09T07:05:00+00:00
83bb063a08066924,26V455,remedy,"Dealers will install new labels, free of charge. Additionally, Nissan will mail replacement labels to owners. Interim letters notifying owners of the safety risk are expected to be mailed August 21, 2026. Additional letters will be sent once the final remedy is available. Owners may contact Nissan customer service at 1-800-867-7669. Nissan's numbers for this recall are R26B1 and P6A13/4. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on July 16, 2026.","Dealers will install new labels, free of charge. Additionally, Nissan will mail replacement labels to owners. Interim letters notifying owners of the safety risk were mailed September 2, 2026. Additional letters will be sent once the final remedy is available, anticipated Fall 2026. Owners may contact Nissan customer service at 1-800-867-7669. Nissan's numbers for this recall are R26B1 and P6A13/4. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on July 16, 2026.",2026-09-05T05:02:36+00:00,2026-09-05T11:16:58+00:00
adff06ea7730b0e6,26V441,remedy,"Owners are advised to park outside and away from structures until the remedy is complete. Dealers will replace the engine starter, free of charge. Owner notification letters are expected to be mailed August 28, 2026. Owners may contact BMW customer service at 1-800-525-7417. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov beginning August 28, 2026.","Owners are advised to park outside and away from structures until the remedy is complete. Dealers will replace the engine starter, free of charge. Letters informing owners of the safety risk were mailed September 3, 2026. Another letter will be mailed after the remedy is confirmed. Owners may contact BMW customer service at 1-800-525-7417. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov beginning August 28, 2026.",2026-09-05T05:02:36+00:00,2026-09-05T11:16:58+00:00
fa32e129e6a3c591,26V438,remedy,"Dealers will replace the engine starter, free of charge. Owner notification letters are expected to be mailed on August 28, 2026. Owners may contact BMW customer service at 1-800-525-7417 or Toyota's customer service at 1-800-331-4331. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning August 28, 2026. This recall is an expansion of previous NHTSA recall 26V056.","Dealers will replace the engine starter, free of charge. Owner notification letters were mailed on August 31, 2026. Owners may contact BMW customer service at 1-800-525-7417 or Toyota's customer service at 1-800-331-4331. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning August 28, 2026. This recall is an expansion of previous NHTSA recall 26V056.",2026-09-05T05:02:36+00:00,2026-09-05T11:16:58+00:00
e8eda3e55b9ea3c8,26V188,remedy,"Owners are advised to park outside and away from structures and should not charge their vehicles until the remedy is completed. Dealers will replace the battery modules or the battery, free of charge. Interim letters notifying owners of the safety risk were mailed April 24, 2026. Additional letters will be sent once the final remedy is available, anticipated in early August 2026. Owners may contact Nissan's customer service at 800-647-7261. Nissan's number for this recall is R25F1. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on March 27, 2026.","Owners are advised to park outside and away from structures and should not charge their vehicles until the remedy is completed. Dealers will replace the battery modules or the battery, free of charge. Owner letters were mailed September 2, 2026. Owners may contact Nissan's customer service at 800-647-7261. Nissan's number for this recall is R25F1. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on March 27, 2026.",2026-09-05T04:02:35+00:00,2026-09-05T10:23:04+00:00
54f3ace9421cf190,26V568,remedy,"Marathon Industries will work with the supplier, Hiab, to inspect the platform bushings and hydraulic systems and replace the deck pins, free of charge. The manufacturer has not yet provided a schedule for recall notification. Owner may contact Marathon Industries' customer service at 1-661-286-1520.","Marathon Industries will work with the supplier, Hiab, to inspect the platform bushings and hydraulic systems and replace the deck pins, free of charge. Owner notification letters are expected to be mailed September 2026. Owner may contact Marathon Industries' customer service at 1-661-286-1520.",2026-09-05T03:09:17+00:00,2026-09-05T09:15:54+00:00
144273b37486ce3c,26V469,remedy,"Dealers will replace the labels, free of charge. Additionally, Ember will mail replacement labels to owners. Owner notification letters are expected to be mailed August 3, 2026. Owners may contact Ember customer service at 1-844-732-4204.","Dealers will replace the labels, free of charge. Additionally, Ember will mail replacement labels to owners. Owner notification letters were mailed August 5, 2026. Owners may contact Ember customer service at 1-844-732-4204.",2026-09-04T03:59:22+00:00,2026-09-04T10:05:09+00:00
a4452b48d8eabc15,26C005,remedy,"The remedy for this recall is currently under development. Interim letters, notifying owners of the safety risk, are expected to be mailed beginning September 1, 2026. Additional letters will be sent once the remedy is available. Owners may contact Evenflo customer service at 1-800-233-5921.","The remedy for this recall is currently under development. Interim letters, notifying owners of the safety risk, are expected to be mailed beginning September 1, 2026. Additional letters will be sent once the remedy is available, anticipated November 2026. Owners may contact Evenflo customer service at 1-800-233-5921.",2026-09-02T14:06:57+00:00,2026-09-04T04:05:11+00:00
2d2ce47355b84060,26V357,remedy,"Dealers will replace the seat belt, free of charge. Owner notification letters are expected to be mailed June 22, 2026. Owners may contact Braun's customer service at 1-800-488-0359.","Dealers will replace the seat belt, free of charge. Owners may contact Braun's customer service at 1-800-488-0359.",2026-09-03T07:02:06+00:00,2026-09-03T13:50:16+00:00
c2df9061289295e7,26V203,remedy,"Dealers will update the software for the pedestrian warning sounds, free of charge. Interim letters notifying owners of the safety risk were mailed June 2, 2026. Additional letters will be sent once the final remedy is available. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 26TB08 and 26TA08.","Dealers will update the software for the pedestrian warning sounds, free of charge. Owner letters were mailed September 1, 2026. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 26TB08 and 26TA08.",2026-09-03T06:31:33+00:00,2026-09-03T13:16:13+00:00
772184f75d9655be,26V552,remedy,"Jayco will mail replacement labels to owners, free of charge. Owner notification letters are expected to be mailed September 30, 2026. Owners may contact Jayco customer service at 1-800-283-8267. Jayco's number for this recall is 9901666.","Jayco will mail replacement labels to owners, free of charge. Owner notification letters were mailed September 1, 2026. Owners may contact Jayco customer service at 1-800-283-8267. Jayco's number for this recall is 9901666.",2026-09-03T05:30:26+00:00,2026-09-03T12:26:39+00:00
ef1359dddb69740b,26V528,remedy,"The remedy is currently under development. Owner notification letters are expected to be mailed beginning September 10, 2026. Owners may contact Chrysler customer service at 1-800-853-1403. Chrysler's number for this recall is 61D. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov on August 20, 2026. Vehicles in this recall were previously recalled under 21V842 or 23V115. Vehicles repaired under the prior recalls will need the new repair completed.","Dealers will inspect and replace or repair the spoiler and align the liftgate as necessary, free of charge. Owner notification letters are expected to be mailed beginning September 10, 2026. Owners may contact Chrysler customer service at 1-800-853-1403. Chrysler's number for this recall is 61D. Vehicle Identification Numbers (VINs) involved in this recall will become searchable on NHTSA.gov on August 20, 2026. Vehicles in this recall were previously recalled under 21V842 or 23V115. Vehicles repaired under the prior recalls will need the new repair completed.",2026-09-03T05:30:26+00:00,2026-09-03T12:26:39+00:00
54b25de61ad0bc9a,25V631,remedy,"Owners are advised to park outside and away from structures until the recall repair is complete. Owners are also advised to avoid charging vehicles above 75% capacity. New Flyer will replace the batteries, free of charge. This is a Phased campaign. Phase 1 will include 35 buses. New Flyer notified owners on 3/24/2026. Phase 2 will include 100 buses. New Flyer will notify owners on or about 6/15/2026. Phase 3 will include 120 buses. New Flyer will notify owners on or about 9/16/2026. Phase 4 will include 120 buses. New Flyer will notify owners on or about 12/14/2026. Phase 5 will include 120 buses. New Flyer will notify owners on or about 3/15/2027. Phase 6 will include 80 buses. New Flyer will notify owners on or about 6/14/2027. Phase 7 will include 80 buses. New Flyer will notify owners on or about 9/27/2027. Interim owner notification letters explaining the safety risk were mailed November 12, 2025. A second letter will be sent once the remedy is available. Owners may contact New Flyer's customer service at 1-800-241-2947.","Owners are advised to park outside and away from structures until the recall repair is complete. Owners are also advised to avoid charging vehicles above 75% capacity. New Flyer will replace the batteries, free of charge. This is a Phased campaign. Phase 1 will include 35 buses. New Flyer notified owners on 3/24/2026. Phase 2 will include 100 buses. New Flyer notified owners on 6/25/2026. Phase 3 will include 120 buses. New Flyer will notify owners on or about 9/16/2026. Phase 4 will include 120 buses. New Flyer will notify owners on or about 12/14/2026. Phase 5 will include 120 buses. New Flyer will notify owners on or about 3/15/2027. Phase 6 will include 80 buses. New Flyer will notify owners on or about 6/14/2027. Phase 7 will include 80 buses. New Flyer will notify owners on or about 9/27/2027. Interim owner notification letters explaining the safety risk were mailed November 12, 2025. A second letter will be sent once the remedy is available. Owners may contact New Flyer's customer service at 1-800-241-2947.",2026-09-03T04:22:34+00:00,2026-09-03T10:35:24+00:00
6837c21298886fe6,26V507,remedy,"The remedy is currently under development. Owner notification letters are expected to be mailed September 15, 2026. Owners may contact Tesla customer service at 1-877-798-3752. Tesla's number for this recall is SB-24-17-003.","The remedy is currently under development. Owner notification letters are expected to be mailed October 3, 2026. Owners may contact Tesla customer service at 1-877-798-3752. Tesla's number for this recall is SB-24-17-003.",2026-09-03T01:34:30+00:00,2026-09-03T07:50:17+00:00
