maker_code,us_year,year_gap,needs_review,review_reason,us_campaign,nl_reference,reported_by,nl_announced,nl_reported,nl_owners,nl_published,nl_defect,nl_conseq,us_conseq,us_remedy,us_reported
CR285,2025,0,false,,25V013,MGP250024,"Ducati North Europe",2025-01-21,2025-07-29,2025-02-05,2025-07-31,"De remslang achter, tussen de ABS-regeleenheid en de achterremklauw kan hitteschade oplopen.","Dit kan leiden tot een plotseling verlies van remkracht in de achterwielrem. Dit vergroot de kans op een ongeval.","A sudden loss of the rear brakes increases the risk of a crash or injury.","Dealers will reinstall the thermal shield, free of charge. Owner notification letters were mailed February 17, 2025. Owners may contact Ducati customer service at 1-888-391-5446. Ducati's number for this recall is CR285.",
SB2500001,2025,0,false,,25V002,MGP250053,"Tesla Motors Netherlands BV",2025-02-11,2025-03-25,2025-03-07,2025-04-10,"Bij het inschakelen van het voertuig kan kortsluiting op de boordcomputer van de auto ontstaan, waardoor de functionaliteit van de achteruitrijcamera verloren gaat.","Als het display van de achteruitrijcamera niet werkt, kan dat het zicht naar achteren van de bestuurder beïnvloeden en het risico op een botsing bij achteruitrijden vergroten.","A rearview camera that does not display an image reduces the driver's rear view, increasing the risk of a crash.","Tesla released an over-the-air (OTA) software update, free of charge. Tesla will also identify any vehicles that experienced a circuit board failure, or stress that may lead to a circuit board failure, and replace the affected computers, free of charge. Owner notification letters were mailed March 7, 2025. Owners may contact Tesla customer service at 1-877-798-3752. Tesla's number for this recall is SB-25-00-001.",2025-07-01
SB2500004,2025,0,false,,25V092,MGP250054,"Tesla Motors Netherlands BV",2025-02-11,2025-03-25,2025-03-25,2025-04-10,"Bij bepaalde voertuigen met elektronische stuurbekrachtiging kan een overspanningsstoring de componenten van de motoraandrijving op de printplaat overbelasten.","De stuurbekrachtiging kan uitvallen.","A loss of power steering assist can require greater steering effort, especially at low speeds, increasing the risk of a crash.","Tesla has released an over-the-air (OTA) software update, free of charge. Owner notification letters were mailed March 25, 2025. Owners may contact Tesla customer service at 1-877-798-3752. Tesla's number for this recall is SB-25-00-004.",
25S01,2025,0,false,,25V025,MGP250059,"Ford Nederland B.V.",2025-01-27,2025-08-26,2025-03-24,2025-02-20,"De schokdempers achter kunnen losraken door corrosie van een las.","Dit kan leiden tot vloeistoflekkages bij de achterwielen, delen van de schokdemper kunnen in het verkeer terechtkomen en een potentieel gevaar vormen voor andere weggebruikers en het heeft een negatieve invloed op het weggedrag.","An external reservoir that detaches from a vehicle can create a road hazard, increasing the risk of a crash.","Dealers will replace the rear shock absorbers, as necessary free of charge. Owner notification letters were mailed August 15, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S01.",
ASA0,2025,,true,"code too short to be certain",25V078,MGP250076,"Pon's Automobielhandel B.V. (Luxury Cars)",,2025-02-27,2025-02-27,2025-02-28,"De gordelsluitingen links en rechts achter zijn mogelijk niet juist gemonteerd.","De schroefverbinding van de gordelsluitingen kan in het geval van een noodstop of een ongeval loskomen, wat het risico op letsel verhoogt.","A loose seat belt buckle may not properly restrain an occupant during a crash, increasing the risk of injury.","Dealers will inspect and tighten the rear seat belt buckle bolt, and reposition the aluminum butyl soundproofing mat as necessary, free of charge. Owner notification letters were mailed April 1, 2025. Owners may contact Porsche customer service at 1-800-767-7243. Porsche's number for this recall is ASA0.",2025-12-02
R10298,2025,0,false,,25V071,MGP250078,"Volvo Cars Nederland B.V.",2025-02-27,2025-03-03,2025-03-24,2025-03-06,"De koplampen kunnen tijdens het rijden mogelijk opnieuw opstarten en uitvallen.","Als de koplampen uitvallen tijdens het rijden, vermindert het zicht, wat het risico op een ongeval vergroot.","A loss of headlight function while driving can reduce visibility and increase the risk of a crash.","The LPC software will be updated manually, free of charge. Owner notification letters were mailed March 12, 2025. Owners may contact Volvo's customer service at 1-800-458-1552. Volvo's number for this recall is R10298.",2025-07-02
25S09,2025,0,false,,25V093,MGP250089,"Ford Nederland B.V.",2025-03-06,2025-10-08,2025-10-28,2025-10-10,"De veiligheidsgordels zijn mogelijk niet goed bevestigd.","Verkeerd bevestigde veiligheidsgordels kunnen een inzittende tijdens een botsing wellicht niet goed tegenhouden, waardoor het risico op verwondingen toeneemt.","A loose seat belt or seat belt buckle may not properly restrain an occupant during a crash, increasing the risk of injury.","Dealers will inspect seat belt buckle anchor bolts in all seating positions. Additionally, dealers will inspect the seat belt retractor anchor bolt and seat belt anchor bolt at the second-row center seating position, if equipped. If loose anchor bolts are found, the affected seat components will be replaced. Repairs will be performed free of charge. Owner notification letters were mailed on June 5, 2025. Owners may contact Ford customer service at 866-436-7332. Ford's number for this recall is 25S09.",
25S11,2025,0,false,,25V096,MGP250090,"Ford Nederland B.V.",2025-02-11,2025-04-23,2025-04-30,2025-04-29,"De secundaire digitale koppelsensor in het stuurhuis is mogelijk verkeerd gekalibreerd omdat de juiste software-update volgens terugroepactie 24S44 wellicht niet in deze voertuigen is geïnstalleerd.","Het stuurwiel kan zonder waarschuwing beginnen te trillen (afwisselend rechtsom/linksom) wanneer de bestuurder probeert te sturen, waardoor het risico op een ongeval toeneemt.","A steering wheel that turns unintentionally can cause a loss of vehicle control and increase the risk of a crash.","Dealers will update the power steering control module (PSCM) software, free of charge. Owner notification letters were mailed March 25, 2025. Owners may contact Ford customer service at 866-436-7332. Ford's number for this recall is 25S11.",
202501,2025,0,false,,25V051,MGP250096,"Niesmann + Bischoff GmbH",2025-03-05,2025-06-03,2025-02-05,2025-06-06,"Door een defecte vulstop kan de gastank van de kampeerwagen bij het vullen te vol raken.","Hierdoor kan, bij het ontsteken van het gasfornuis, een vlamexplosie of een gasexplosie in het verwarmingssysteem ontstaan.","Referencing an incorrect label may lead to unintentionally overloading the vehicle, increasing the risk of a crash.","Dealers will replace the labels, free of charge. Owner notification letters were mailed February 18, 2025. Owners may contact Roadtrek customer service at 1-888-762-3873. Roadtrek's number for this recall is 2025-01.",
SB2520001,2025,0,false,,25V172,MGP250103,"Tesla Motors Netherlands BV",2025-03-21,2025-03-26,2025-04-09,2025-04-10,"Er is mogelijk een airbag met een niet-mechanische claxon in een mechanisch stuurwiel geïnstalleerd, of een airbag met een mechanische claxon in een niet-mechanisch stuurwiel.","Indien de verkeerde airbag is gemonteerd werkt de claxon niet meer. De werking van de airbag blijft onaangetast.","An inoperative horn may prevent the driver from alerting other drivers, increasing the risk of a crash.","Tesla service will inspect and install an air bag with the correct horn pad as necessary, free of charge. Owner notification letters were mailed May 20, 2025. Owners may contact Tesla customer service at 1-877-798-3752. Tesla's number for this recall is SB-25-20-001.",
MC2506,2025,0,false,,25V363,MGP250129,"Yamaha Motor Nederland B.V.",2025-04-08,2025-04-15,2025-04-24,2025-04-18,"Er is mogelijk een verkeerd gevormde voetsteun gemonteerd met een scherpe rand.","Hier kunnen personen zich mogelijk aan verwonden.","An engine stall increases the risk of a crash or injury.","KMC will replace the battery harness and secure the ground connection, free of charge. Owner notification letters were mailed on June 12, 2025. KMC's number for this recall is MC25-06.",
N989,2025,0,true,"code too short to be certain",25V155,MGP250132,"Jaguar Land Rover Nederland B.V.",2025-04-03,2025-04-22,,2025-04-24,"De gespkabel van de middelste veiligheidsgordel op de tweede zitrij is mogelijk verkeerd uitgelijnd.","Hierdoor kan de veiligheidsgordel mogelijk niet goed vastklikken, waardoor de kans op letsel bij een ongeluk groter wordt.","An unlatched seat belt will not properly restrain an occupant, increasing the risk of injury.","Dealers will replace the center seat belt buckle and buckle retaining bolt, free of charge. Owner notification letters were April 22, 2025. Owners may contact Jaguar's customer service at 1-800-452-4827. Jaguar's number for this recall is N989.",2025-12-03
25S14,2025,0,false,,25V130,MGP250150,"Ford Nederland B.V.",2025-04-30,2025-05-01,2025-05-12,2025-05-02,"Het hoofdrelais van de hoogspanningsaccu kan overhit raken, vast gaan zitten, niet meer schakelen of niet meer sluiten omdat de juiste software-update volgens terugroepactie 22S41 of 23S56 wellicht niet in deze voertuigen is geïnstalleerd.","Het voertuig kan bij een volgende keer gebruik niet meer gaan rijden, of, de aandrijving van het voertuig valt tijdens het rijden onverwacht uit.","An overheated high voltage battery contactor may cause the vehicle to lose drive power, increasing the risk of a crash.","Dealers will update the on-board software, free of charge. Owner notification letters were mailed April 11, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S14.",
25S16,2025,0,false,,25V133,MGP250152,"Ford Nederland B.V.",2025-04-30,2025-05-01,2025-05-12,2025-05-05,"De hybride motorregelmodule (HPCM) bevat mogelijk verkeerde software door een fout bij een eerdere terugroepactie.","Hierdoor kan de auto tijdens het rijden gedwongen naar neutraal schakelen en bij stilstand naar de “Parkeerstand”, waarna de auto langzaam rijdt met weinig kracht (max. 50 km/u).","A loss of drive power increases the risk of a crash.","Dealers will update the HPCM software, free of charge. Owner notification letters were mailed April 11, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S16.",
25S21,2025,0,false,,25V165,MGP250153,"Ford Nederland B.V.",2025-05-01,2025-05-01,2025-05-12,2025-05-06,"Het inspuitventiel kan barsten en brandstof op de motor lekken doordat de software bij een eerdere terugroepactie mogelijk niet correct is geïnstalleerd.","Ophoping van vloeibare brandstof en/of brandstofdampen bij een heet oppervlak kan leiden tot ontbranding en brand onder de motorkap.","A fuel leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will update the powertrain control module (PCM) software, free of charge. Owner notification letters were mailed April 22, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S21.",
25S22,2025,0,false,,25V166,MGP250154,"Ford Nederland B.V.",2025-05-06,2025-05-09,2025-05-21,2025-05-15,"De PCM (parkeerremmodule) heeft mogelijk niet de juiste software.","Hierdoor kan een bevestigingsbout van de achteras breken tijdens het accelereren, wat leidt tot verlies van aandrijfvermogen. Het voertuig kan dan ook gaan rollen in de parkeerstand.","A disconnected driveshaft can result in vehicle rollaway when the vehicle is placed in park without the parking brake applied. A disconnected driveshaft can also result in a loss of drive power. Either of these scenarios can increase the risk of a crash.","Dealers will update the powertrain control module (PCM) software, free of charge. Owner notification letters were mailed April 25, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S22.",
25S27,2025,0,false,,25V159,MGP250156,"Ford Nederland B.V.",2025-05-06,2025-05-08,2025-05-21,2025-05-12,"De digitale achteruitrijcamera toont bij het achteruitrijden soms geen beeld, of alleen een blauw of zwart scherm.","De bestuurder heeft minder zicht tijdens het achteruitrijden dan verwacht.","Loss of the rearview camera image can reduce the driver's rear visibility, increasing the risk of a crash.","Dealers will update the Image Processing Module software, free of charge. Owner notification letters were mailed April 25, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S27.",
RA182044,2025,0,false,,25V300,MGP250157,"Aston Martin Lagonda Ltd",2025-05-07,2025-05-08,2025-05-07,2025-05-09,"Het sluitpaneel van de achterste zekeringkast is met verkeerde schroeven bevestigd en kunnen mogelijk de interne kabelboom raken en beschadigen.","Deze beschadiging kan ervoor zorgen dat de motor uitvalt of dat de verlichting of stuurbekrachtiging niet meer werkt. Daarnaast kan er hitte ontstaan bij de zekeringkast, waardoor rook of brandlucht vrijkomt, met het risico op brand","A damaged wiring harness can lose electrical power and result in the engine stalling or loss of headlights, power assisted steering, and other critical vehicle functions, increasing the risk of a crash.","Dealers will replace the fuse box closing panel screws and, if necessary, replace any damaged components, free of charge. Owner notification letters were mailed July 29, 2025. Owners may contact Aston Martin customer service at 1-888-923-9988. Aston Martin's number for this recall is RA-18-2044.",2025-08-05
15ZK,2025,0,true,"code too short to be certain",25V294,MGP250162,"Pon's Automobielhandel B.V.",2025-05-19,2025-05-20,2025-05-22,2025-05-23,"De bouten van het kleppendeksel kunnen mogelijk losraken.","Hierdoor kan olie op hete motordelen terechtkomen. Dit kan leiden tot rookontwikkeling of brandgevaar. Bij rook uit de motorruimte moet het voertuig direct veilig worden stilgezet.","The screws can loosen, allowing oil to leak and increasing the risk of a fire.","Dealers will inspect and replace the screws as necessary, free of charge. Owner notification letters were mailed June 5, 2025. Owners may contact Audi customer service at 1-800-253-2834. Audi's number for this recall is 15ZK.",2025-07-05
N252494000,2025,0,false,,25V274,MGP250182,"Klintberg and Way Parts AB",2025-04-24,2026-07-24,2026-05-31,2026-07-30,"De drijfstang en/of krukas van de motor kunnen fabricagefouten bevatten die kunnen leiden tot motorschade of motoruitval.","Wanneer de motor tijdens het rijden uitvalt, verliest het voertuig de aandrijving, waardoor het risico op een ongeval toeneemt.","Engine failure increases the risk of a crash.","Dealers will inspect the engine, and as necessary, repair or replace the engine. For vehicles that pass inspection, dealers will add higher viscosity oil, install 6 oil fill cap, replace the oil filter, and update the owner's manual. Repairs will be performed free of charge. Owner notification letters were mailed June 18, 2025. Owners may contact Cadillac customer service at 1-800-333-4223, Chevrolet customer service at 1-800-222-1020, or GMC customer service at 1-800-462-8782. GM's number for this recall is N252494000.",
25S38,2025,0,false,,25V242,MGP250185,"Ford Nederland B.V.",2025-05-19,2025-06-23,2025-05-21,2025-06-27,"De digitale achteruitrijcamera kan geen beeld of sporadisch een blauw of zwart beeld weergeven tijdens het rijden met lage snelheden.","De bestuurder heeft minder zicht tijdens het achteruitrijden dan verwacht.","Loss of the rearview camera image can reduce the driver's rear visibility, increasing the risk of a crash.","Dealers will update the rearview camera software, free of charge. Owner notification letters were mailed May 23, 2025. Ford's number for this recall is 25S38.",2025-11-04
0188,2025,0,true,"code too short to be certain",25V375,MGP250201,"Harley-Davidson Benelux BV",2025-06-12,2025-06-27,2025-07-01,2025-07-04,"De montagebeugel van de verstelknop van de achterschokdemper kan bij normaal gebruik breken, waardoor de verstelknop mogelijk in contact kan komen met de achterband.","Dit brengt een risico op een crash met zich mee als het contact tussen de achterschokdemper en de band onopgemerkt blijft en kan een plotseling verlies van bandenspanning veroorzaken.","A sudden loss of tire pressure increases the risk of a crash.","Dealers will install a new bracket, free of charge. Owner notification letters are expected to be mailed June 16, 2025. Owners may contact Harley-Davidson customer service at 1-800-258-2464. Harley-Davidson's number for this recall is 0188. Some of the vehicles included in this recall were previously repaired under recall 23V591, and will need to have the new remedy completed.",2025-06-06
RP1061,2025,0,false,,25V409,MGP250206,"Volvo Cars Nederland B.V.",2025-06-17,2025-06-17,2025-06-13,2025-06-23,"Door een softwarefout kan de remfunctie tijdelijk uitvallen tijdens het rijden met de One Pedal Drive functie geactiveerd, voornamelijk na bergafwaarts rijden.","Dit kan leiden tot verlies van remvermogen en verhoogt het risico op een ongeval.","A loss of brake function increases the risk of a crash.","Owners are advised not to use ""One Pedal Drive"" until the repair has been completed. Polestar has released an over-the-air (OTA) software update, free of charge. Owner notification letters were mailed July 18, 2025. Owners may contact Polestar's customer service at 1-800-806-2504. Polestar's number for this recall is RP1061.",2025-02-07
40LF,2025,0,true,"code too short to be certain",25V428,MGP250214,"Pon's Automobielhandel B.V.",2025-06-23,2025-07-18,2025-07-02,2025-07-21,"De borgringen van de luchtveerpoten zijn mogelijk niet goed gemonteerd en kunnen losraken.","Hierdoor kan tijdens het rijden plotseling lucht ontsnappen, wat het rijgedrag negatief beïnvloedt en het risico op een ongeval vergroot.","An air suspension strut failure may cause a loss of vehicle handling and control, increasing the risk of a crash.","Dealers will inspect and replace the air suspension struts as necessary, free of charge. Owner notification letters were mailed July 16, 2025. Owners may contact Audi customer service at 1-800-253-2834. Volkswagen's number for this recall is 40LF.",
RP1063,2025,0,false,,25V453,MGP250233,"Volvo Cars Nederland B.V.",2025-07-02,2025-07-04,2025-07-03,2025-07-04,"In de stekker die de bumperkabelboom met de motorruimtekabelboom verbind kan vloeistof binnendringen wat kan leiden tot corrosie van de connectorpennen.","Verschillende electronische storingen waaronder verlies van de stuurbekrachtiging.","Damage to harnesses can cause various electrical malfunctions, such as a loss of power steering assist, increasing the risk of a crash or injury.","Polestar will replace the bumper harness and the inline front bumper/engine bay connector on the engine bay harness, free of charge. Owner notification letters were mailed July 31, 2025. Owners may contact Polestar's customer service at 1-800-806-2504. Polestar's number for this recall is RP1063.",2025-07-07
25S51,2025,0,false,,25V439,MGP250244,"Ford Nederland B.V.",2025-05-16,2025-07-28,2025-07-30,2025-07-29,"De passagiersairbag moet worden vervangen vanwege een productiefout.","Bij een botsing waarbij de airbag wordt geactiveerd, kan de slang van de gasgenerator echter scheuren. Deze breuk kan leiden tot metaalsplinters, schade aan het kussen van de airbag, volledig verlies van de werking van de airbag en een verhoogd risico op al dan niet dodelijke verwondingen.","An air bag that deploys with excessive force can increase the risk of injury during a crash.","Dealers will replace the passenger side air bags, free of charge. Owner notification letters were mailed August 8, 2025. Owners may contact Ford Customer Service at 1-866-436-7332. Ford's number for this recall is 25S51.",
ASA6,2025,0,true,"code too short to be certain",25V415,MGP250245,"Pon's Automobielhandel B.V. (Luxury Cars)",2025-07-11,2025-07-11,2025-07-21,2025-07-14,"De borgringen van de luchtveerpoten zijn mogelijk niet goed gemonteerd en kunnen losraken.","Hierdoor kan tijdens het rijden plotseling lucht ontsnappen, wat het rijgedrag negatief beïnvloedt en het risico op een ongeval vergroot.","An air suspension strut failure may cause a loss of vehicle handling and control, increasing the risk of a crash.","Dealers will inspect the retaining ring and reinstall it as necessary, free of charge. Owner notification letters were mailed August 15, 2025. Owners may contact Porsche's customer service at 1-800-767-7243. Porsche's number for this recall is ASA6.",
25S54,2025,0,false,,25V345,MGP250246,"Ford Nederland B.V.",2025-07-07,2025-07-11,2025-07-22,2025-07-14,"De software van een eerdere terugroepactie met kenmerk 23S27 is mogelijk niet goed geïnstalleerd waardoor er nog steeds een scheur in het cilinderblok kan ontstaan.","Hierdoor is het mogelijk dat olie ontsnapt, waardoor in combinatie met de hitte in de motorruimte, brand onder de motorkap kan ontstaan.","An engine compartment fire increases the risk of injury.","Owners are advised to park and shut off the engine as quickly as possible if they hear unexpected engine noises, notice a reduction in vehicle power, or see smoke. Dealers will update the powertrain control module software, free of charge. Owner notification letters were mailed June 27, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S54.",
ASA7,2025,0,true,"code too short to be certain",25V492,MGP250271,"Pon's Automobielhandel B.V. (Luxury Cars)",2025-07-30,2025-08-15,2025-08-13,2025-08-21,"De airbags in de voorstoelen zijn mogelijk niet met de juiste specificaties vastgeschroefd in de rugleuning.","Hierdoor kan de airbag bij een ongeval mogelijk niet goed ontplooiien, wat het risico op letsel van inzittenden kan verhogen.","An improper air bag deployment can increase the risk of injury during a crash. In addition, an improperly secured air bag may project loose components into the vehicle, increasing the risk of injury.","Dealers will inspect and repair the backrest frame screws as necessary, free of charge. Owner notification letters are expected to be mailed on September 26, 2025. Owners may contact Porsche customer service at 1-800-767-7243. Porsche's number for this recall is ASA7.",
25S49,2025,0,false,,25V315,MGP250276,"Ford Nederland B.V.",2025-07-31,2025-08-29,2025-09-28,2025-09-04,"De achteruitrijcamera kan door een softwarefout mogelijk uitvallen.","Als de camera tijdens het achteruitrijden uitvalt kan dit het risico op een ongeval vergroten.","A frozen or missing rearview camera image can reduce the driver's view behind the vehicle, increasing the risk of a crash.","The accessory protocol interface module (APIM) software will be updated by a dealer or through an over-the-air update, free of charge. This will be a phased campaign, with the remedy becoming available in different phases based on model and model years. Interim letters notifying owners of the safety risk were mailed on June 26, 2025. Additional letters will be mailed once the final remedy is available on each phase. Owner notification letters were sent on October 8, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S49.",2025-09-05
25S61,2025,0,false,,25V372,MGP250277,"Ford Nederland B.V.",2025-06-09,2025-09-23,2025-08-29,2025-09-26,"Uit de kogelplug van de cilinderkop kan motorolie lekken, waardoor olieverlies optreedt","Dit kan leiden tot motorgeluiden, olielekkage en verlies van aandrijfvermogen optreden. Lekkende olie kan in contact komen met de hete katalysator, wat het risico op verwondingen en brand vergroot.","An oil leak can result in loss of drive power, increasing the risk of a crash. In addition, an oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will replace the cylinder head assembly as necessary, free of charge. Owner notification letters were mailed August 8, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S61.",2025-03-06
